engine,output_name,rule_index,rule_name,if_then_statement,weight,description
comfort,comfort_efficiency,12,r12_downhill_light_mediumspeed,IF road_slope IS downhill AND traffic_density IS light AND current_speed IS medium THEN comfort_efficiency IS high,1.00,A mild downhill with light traffic favors smooth momentum retention.
comfort,comfort_efficiency,13,r13_downhill_highspeed,IF road_slope IS downhill AND current_speed IS high THEN comfort_efficiency IS medium,1.00,Downhill motion at high speed should moderate comfort-driven acceleration.
comfort,comfort_efficiency,14,r14_heavy_highspeed,IF traffic_density IS heavy AND current_speed IS high THEN comfort_efficiency IS low,1.00,Dense traffic at high speed should suppress efficiency bias.
comfort,comfort_efficiency,15,r15_heavy_lowspeed,IF traffic_density IS heavy AND current_speed IS low THEN comfort_efficiency IS medium,1.00,"Low speed in heavy traffic supports a balanced, patient style."
comfort,comfort_efficiency,16,r16_flat_heavy_lowspeed,IF road_slope IS flat AND traffic_density IS heavy AND current_speed IS low THEN comfort_efficiency IS medium,1.00,"Flat roads remove some burden, but traffic still constrains comfort bias."
comfort,comfort_efficiency,17,r17_flat_light_highspeed,IF road_slope IS flat AND traffic_density IS light AND current_speed IS high THEN comfort_efficiency IS medium,1.00,"Open road invites pace keeping, but very high speed softens the comfort target."
comfort,comfort_efficiency,18,r18_downhill_moderate_lowspeed,IF road_slope IS downhill AND traffic_density IS moderate AND current_speed IS low THEN comfort_efficiency IS high,0.90,Gentle downhill motion at low speed and moderate traffic invites smooth acceleration.
meta,throttle_command,1,t1_critical_risk,IF risk_level IS critical THEN throttle_command IS zero,1.00,Critical risk removes throttle authority.
meta,throttle_command,2,t2_high_risk,IF risk_level IS high THEN throttle_command IS zero,1.00,High risk strongly suppresses throttle.
meta,throttle_command,3,t3_medium_risk_baseline,IF risk_level IS medium THEN throttle_command IS light,1.00,Medium risk should keep throttle conservative by default.
meta,throttle_command,4,t4_low_risk_baseline,IF risk_level IS low THEN throttle_command IS medium,1.00,Low risk allows moderate throttle as a baseline.
meta,throttle_command,5,t5_strong_left_lateral,IF lane_stability IS strong_left THEN throttle_command IS zero,0.85,Strong left steering demand should suppress throttle to help stabilization.
meta,throttle_command,6,t6_strong_right_lateral,IF lane_stability IS strong_right THEN throttle_command IS zero,0.85,Strong right steering demand should suppress throttle to help stabilization.
meta,throttle_command,7,t7_left_lateral,IF lane_stability IS left THEN throttle_command IS light,1.00,Moderate left steering demand should soften throttle.
meta,throttle_command,8,t8_right_lateral,IF lane_stability IS right THEN throttle_command IS light,1.00,Moderate right steering demand should soften throttle.
meta,throttle_command,9,t9_lowrisk_centered_highcomfort,IF risk_level IS low AND lane_stability IS centered AND comfort_efficiency IS high THEN throttle_command IS strong,1.00,"Low risk, centered lane, and high comfort preference invite stronger throttle."
meta,throttle_command,10,t10_lowrisk_centered_mediumcomfort,IF risk_level IS low AND lane_stability IS centered AND comfort_efficiency IS medium THEN throttle_command IS medium,1.00,Low risk with balanced comfort supports moderate throttle.
meta,throttle_command,11,t11_lowrisk_centered_lowcomfort,IF risk_level IS low AND lane_stability IS centered AND comfort_efficiency IS low THEN throttle_command IS light,1.00,Low comfort preference restrains throttle even when risk is low.
meta,throttle_command,12,t12_mediumrisk_centered_highcomfort,IF risk_level IS medium AND lane_stability IS centered AND comfort_efficiency IS high THEN throttle_command IS medium,0.85,"When only moderately risky and laterally stable, comfort can keep some throttle."
meta,throttle_command,13,t13_mediumrisk_centered_mediumcomfort,IF risk_level IS medium AND lane_stability IS centered AND comfort_efficiency IS medium THEN throttle_command IS light,1.00,Balanced medium-risk conditions justify only light throttle.
meta,throttle_command,14,t14_highrisk_centered_highcomfort,IF risk_level IS high AND comfort_efficiency IS high AND lane_stability IS centered THEN throttle_command IS light,0.35,A residual comfort preference may keep only a trace of throttle when risk is high.
meta,brake_command,1,b1_critical_risk,IF risk_level IS critical THEN brake_command IS hard,1.00,Critical risk demands hard braking.
meta,brake_command,2,b2_high_risk,IF risk_level IS high THEN brake_command IS hard,1.00,High risk requires decisive braking.
meta,brake_command,3,b3_medium_risk_baseline,IF risk_level IS medium THEN brake_command IS light,1.00,Medium risk should produce at least light braking by default.
meta,brake_command,4,b4_low_risk_baseline,IF risk_level IS low THEN brake_command IS none,1.00,Low risk alone does not require braking.
meta,brake_command,5,b5_strong_left_lateral,IF lane_stability IS strong_left THEN brake_command IS medium,0.75,Severe left steering demand benefits from stabilizing braking.
meta,brake_command,6,b6_strong_right_lateral,IF lane_stability IS strong_right THEN brake_command IS medium,0.75,Severe right steering demand benefits from stabilizing braking.
meta,brake_command,7,b7_left_lateral,IF lane_stability IS left THEN brake_command IS light,0.65,Moderate left steering demand can justify light braking.
meta,brake_command,8,b8_right_lateral,IF lane_stability IS right THEN brake_command IS light,0.65,Moderate right steering demand can justify light braking.
meta,brake_command,9,b9_mediumrisk_strongleft,IF risk_level IS medium AND lane_stability IS strong_left THEN brake_command IS medium,1.00,Medium risk with large left correction demand calls for stabilizing braking.
meta,brake_command,10,b10_mediumrisk_strongright,IF risk_level IS medium AND lane_stability IS strong_right THEN brake_command IS medium,1.00,Medium risk with large right correction demand calls for stabilizing braking.
meta,brake_command,11,b11_highrisk_strongleft,IF risk_level IS high AND lane_stability IS strong_left THEN brake_command IS hard,1.00,High risk and severe left lateral demand justify hard braking.
meta,brake_command,12,b12_highrisk_strongright,IF risk_level IS high AND lane_stability IS strong_right THEN brake_command IS hard,1.00,High risk and severe right lateral demand justify hard braking.
meta,brake_command,13,b13_lowrisk_centered_highcomfort,IF risk_level IS low AND lane_stability IS centered AND comfort_efficiency IS high THEN brake_command IS none,1.00,Low-risk comfortable cruising should avoid unnecessary braking.
meta,brake_command,14,b14_mediumrisk_centered_highcomfort,IF risk_level IS medium AND comfort_efficiency IS high AND lane_stability IS centered THEN brake_command IS none,0.45,Comfort introduces a competing no-brake tendency in medium risk.
meta,brake_command,15,b15_highrisk_centered_highcomfort,IF risk_level IS high AND comfort_efficiency IS high AND lane_stability IS centered THEN brake_command IS medium,0.50,High comfort adds a softer competing brake tendency against stronger safety rules.
meta,steering_correction,1,s1_strongleft,IF lane_stability IS strong_left THEN steering_correction IS steer_left_hard,1.00,A strong-left lane index maps to a hard left steering request.
meta,steering_correction,2,s2_left,IF lane_stability IS left THEN steering_correction IS steer_left,1.00,Left correction demand maps to left steering.
meta,steering_correction,3,s3_centered,IF lane_stability IS centered THEN steering_correction IS keep,1.00,Centered lane state keeps the wheel near neutral.
meta,steering_correction,4,s4_right,IF lane_stability IS right THEN steering_correction IS steer_right,1.00,Right correction demand maps to right steering.
meta,steering_correction,5,s5_strongright,IF lane_stability IS strong_right THEN steering_correction IS steer_right_hard,1.00,A strong-right lane index maps to a hard right steering request.
meta,steering_correction,6,s6_highrisk_strongleft,IF risk_level IS high AND lane_stability IS strong_left THEN steering_correction IS steer_left,0.80,High risk tempers a hard left correction into a slightly softer maneuver.
meta,steering_correction,7,s7_highrisk_strongright,IF risk_level IS high AND lane_stability IS strong_right THEN steering_correction IS steer_right,0.80,High risk tempers a hard right correction into a slightly softer maneuver.
meta,steering_correction,8,s8_critical_strongleft,IF risk_level IS critical AND lane_stability IS strong_left THEN steering_correction IS steer_left,0.90,Critical risk discourages very abrupt steering while braking heavily.
meta,steering_correction,9,s9_critical_strongright,IF risk_level IS critical AND lane_stability IS strong_right THEN steering_correction IS steer_right,0.90,Critical risk discourages very abrupt steering while braking heavily.
meta,steering_correction,10,s10_centered_highcomfort,IF lane_stability IS centered AND comfort_efficiency IS high THEN steering_correction IS keep,1.00,High comfort preference reinforces smooth lane keeping.
